sCode,noPeriode,sDescription
AM-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HR,108,LUN à VEN 9h-21h et SAM DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HR,332,LUN à VEN 9h-21h et SAM DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AP-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HR,108,LUN à VEN 9h-21h SAM et DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HR,332,LUN à VEN 9h-21h SAM et DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AQ-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AQ-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AQ-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AQ-HR,28,LUN à VEN 9h à 21 SAM 9h-18h DIM 13h-18h Excepté périodes interdites (autocollant spécial QIM)
AQ-HR,108,LUN à VEN 9h à 21 SAM 9h-18h DIM 13h-18h Excepté périodes interdites (autocollant spécial QIM)
AQ-HR,125,LUN à VEN 9h à 21 SAM 9h-18h DIM 13h-18h Excepté périodes interdites (autocollant spécial QIM)
AU-JQ,1493,LUN à DIM 8 h - 20 h EXCEPTÉ PÉRIODES INTERDITES
CC-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AW,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,125,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-BA,63,7 h - 22 h
CC-SX,108,LUN À VEN 9 h - 21 h  SAM et DIM 9 h - 18 h
CC-SX,332,LUN À VEN 9 h - 21 h  SAM et DIM 9 h - 18 h
CH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AA,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AC,34,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CH-AC,125,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CH-AW,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,125,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-RT,142,9 h - 21 h
CH-RX,125,LUN À SAM 9 h - 21 h DIM 13 h - 18 h
CH-RX,158,LUN À SAM 9 h - 21 h DIM 13 h - 18 h
CH-SX,108,LUN À VEN 9 h - 21 h SAM et DIM 9 h - 18 h
CH-SX,332,LUN À VEN 9 h - 21 h SAM et DIM 9 h - 18 h
CH-TT,1372,24 HEURES - 7 JOURS SUR 7
CH-TX,259,LUN À VEN. 9h - 18h
CH-VA,108,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VA,332,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VB,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-ZA,1371,6 h - 17 h LUN à VEN
CH-ZC,28,LUN À VEN 9 h - 21 h SAM 9 h 18 h
CH-ZC,108,LUN À VEN 9 h - 21 h SAM 9 h 18 h
CH-ZD,329,8h - 23h - TOUS LES JOURS - DURÉE MAX 3h
CH-ZE,1566,LUN AU SAM 9h - 23h
CH-ZY,28,SAM et DIM 9h - 18h
CH-ZY,1412,SAM et DIM 9h - 18h
CI-AC,39,STAT. INT. EXCEPTÉ LIVR. 8 h - 12 h LUN À VEN
CI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
CI-AK,1474,STAT. INT. 8 h - 9 h 30 LUN À VEN
CI-AL,1650,STAT. INT. 9h - 17h LUN
CI-AQ,1672,STAT. INT. EXCEPTÉ LIVR. 8h30  - 12 h LUN À VEN
CI-AV,1639,STAT. INT. EXCEPTÉ LIVR. 8 h - 11 h LUN À VEN
CI-DA,47,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
CI-DA,100,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
CI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DC,309,P 15 min 7h00 - 18h30 LUN À VEN 15 juin au 15 sept
CI-DE,37,P 15 min DÉB. 7 h - 9 h 30 LUN À VEN
CI-NA,27,STAT. INT. LUN à SAM  9h30 - 15h30
CI-NA,1365,STAT. INT. LUN à SAM  9h30 - 15h30
CI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
CI-PI,306,STAT. INT. EXCEPTÉ TAXIS 21 h - 24 h
CI-QG,100,ARRET INT. 7 h - 9 h LUN À VEN
CI-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN
CI-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN
CI-QX,47,ARRET INT. 6 h - 9 h 30 et 16 h - 18h LUN À VEN
CI-QX,60,ARRET INT. 6 h - 9 h 30 et 16 h - 18h LUN À VEN
CI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
CI-SD,40,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SE,181,P 15 min Déb. 7 h - 18 h LUN À VEN
CI-SF,182,STAT. INT. 8 h - 18 h LUN À SAM
CI-SH,47,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
CI-SH,100,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
CI-SL,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
CI-SU,1633,SAT. INT. 7 h 30 - 9 h LUN À VEN
CI-SV,1648,P 15 min 9h30 - 17h  LUN À VEN
CI-SX,32,STAT. INT. 9 h à 16 h LUN À VEN
CI-TC,259,STAT. INT. 9 h - 18 h LUN-VEN
CI-TD,1649,STAT. INT. EXCEPTÉ LIVRAISON 12 h - 18 h. 
CI-TE,31,STAT. INT. 9 h - 15 h 30 LUN à VEN zone de livraison
CP-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CP-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CR-AY,60,ARRET INT. 6 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
CR-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN. AVEC REMORQUAGE
CR-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-RN,80,ARRET INT. 15 h - 18 h 30 LUN À VEN AVEC  REMORQUAGE
CR-SK,186,ARRET INT. 14 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CU-AA,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AC,34,LUN À SAM 9 h - 18 h
GR-AA,1480,Stationnement gratuit 8h-10h  LUN-VEN (test GTR)
GR-AC,255,Stationnement gratuit 11h-14h  LUN-VEN (test GTR)
GR-AD,1481,Stationnement gratuit 12h-14h  LUN-VEN (test GTR)
GR-AE,1482,Stationnement gratuit 13h-14h LUN-VEN (test GTR)
